CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326.0,12.0,29205.900999999645,2
12347.0,2.0,8.0,4921.53,3
12348.0,75.0,5.0,2019.4,0
12349.0,19.0,4.0,4428.69,0
12350.0,310.0,1.0,334.4,1
12351.0,375.0,1.0,300.93,1
12352.0,36.0,10.0,2849.84,0
12353.0,204.0,2.0,406.76,0
12354.0,232.0,1.0,1079.4,0
12355.0,214.0,2.0,947.61,0
12356.0,23.0,6.0,6371.73,3
12357.0,33.0,3.0,18287.66,3
12358.0,2.0,5.0,3887.07,0
12359.0,58.0,10.0,8873.39,3
12360.0,52.0,8.0,4252.89,0
12361.0,287.0,4.0,511.25,1
12362.0,3.0,11.0,5356.23,3
12363.0,110.0,2.0,552.0,0
12364.0,8.0,4.0,1313.1,0
12365.0,291.0,2.0,641.38,1
12366.0,634.0,1.0,500.24,1
12367.0,4.0,1.0,168.9,0
12368.0,628.0,1.0,917.6999999999999,1
12369.0,413.0,3.0,1791.15,1
12370.0,51.0,7.0,4316.56,0
12371.0,45.0,5.0,4067.38,0
12372.0,72.0,3.0,1298.04,0
12373.0,311.0,3.0,1127.65,1
12374.0,25.0,4.0,2989.2200000000003,0
12375.0,11.0,2.0,457.5,0
12376.0,390.0,2.0,503.15,1
12377.0,315.0,4.0,3426.32,1
12378.0,130.0,2.0,5416.32,0
12379.0,82.0,4.0,1620.22,0
12380.0,22.0,11.0,9676.300000000001,3
12381.0,5.0,5.0,1845.31,0
12383.0,185.0,5.0,1850.56,0
12384.0,29.0,2.0,585.27,0
12385.0,379.0,1.0,1938.4,1
12386.0,338.0,2.0,401.9,1
12387.0,415.0,1.0,143.94,1
12388.0,16.0,8.0,3901.11,0
12389.0,403.0,3.0,1433.33,1
12390.0,80.0,1.0,549.84,0
12391.0,22.0,6.0,2724.84,0
12392.0,591.0,1.0,234.75000000000003,1
12393.0,72.0,6.0,2399.4500000000003,0
12394.0,64.0,2.0,1272.48,0
12395.0,19.0,15.0,4721.17,3
12396.0,674.0,1.0,931.43,1
12397.0,36.0,2.0,2409.9,0
12398.0,46.0,1.0,1635.6599999999999,0
12399.0,119.0,7.0,1962.3,0
12400.0,414.0,1.0,205.25,1
12401.0,303.0,1.0,84.3,1
12402.0,323.0,6.0,1256.9,1
12403.0,50.0,2.0,1019.36,0
12404.0,682.0,1.0,63.24,1
12405.0,149.0,1.0,1710.39,0
12406.0,22.0,5.0,6390.36,0
12407.0,50.0,5.0,1708.1200000000001,0
12408.0,33.0,8.0,4340.7699999999995,0
12409.0,79.0,7.0,23419.29,2
12410.0,309.0,3.0,1013.71,1
12411.0,410.0,1.0,346.9,1
12412.0,75.0,6.0,2596.93,0
12413.0,67.0,4.0,999.45,0
12414.0,217.0,6.0,952.41,0
12415.0,24.0,28.0,29205.900999999645,2
12416.0,657.0,1.0,202.56,1
12417.0,3.0,20.0,6797.41,3
12418.0,113.0,4.0,2021.2,0
12419.0,386.0,2.0,503.01,1
12420.0,64.0,1.0,600.39,0
12421.0,16.0,6.0,1098.6,0
12422.0,96.0,17.0,5231.8,3
12423.0,1.0,10.0,2622.39,0
12424.0,163.0,4.0,3340.03,0
12425.0,78.0,2.0,1741.41,0
12426.0,195.0,2.0,1345.21,0
12427.0,22.0,3.0,825.8,0
12428.0,26.0,9.0,7956.46,3
12429.0,9.0,8.0,6204.41,3
12430.0,43.0,1.0,256.4,0
12431.0,36.0,27.0,10432.22,3
12432.0,43.0,5.0,5059.32,0
12433.0,1.0,10.0,16794.14,3
12434.0,85.0,3.0,1103.43,0
12435.0,80.0,6.0,13925.93,3
12436.0,100.0,1.0,509.01,0
12437.0,2.0,39.0,12683.4,2
12438.0,14.0,2.0,2906.85,0
12439.0,683.0,2.0,1142.88,1
12440.0,462.0,2.0,859.2,1
12441.0,367.0,1.0,173.55,1
12442.0,3.0,1.0,172.06,0
12443.0,726.0,1.0,485.31,1
12444.0,21.0,5.0,5005.46,0
12445.0,22.0,2.0,434.98,0
12446.0,58.0,1.0,1002.3100000000001,0
12447.0,243.0,1.0,476.49,0
12448.0,44.0,1.0,449.45,0
12449.0,22.0,6.0,4835.89,0
12450.0,156.0,5.0,688.2,0
12451.0,11.0,8.0,12669.88,3
12452.0,17.0,2.0,430.57,0
12453.0,134.0,1.0,707.09,0
12454.0,56.0,5.0,16679.78,3
12455.0,73.0,10.0,5879.95,3
12456.0,44.0,3.0,3181.04,0
12457.0,66.0,8.0,2995.91,0
12458.0,71.0,4.0,1777.49,0
12459.0,605.0,1.0,454.36,1
12460.0,456.0,1.0,326.65,1
12461.0,94.0,2.0,826.88,0
12462.0,19.0,2.0,1189.59,0
12463.0,53.0,4.0,1344.78,0
12464.0,10.0,8.0,1212.05,0
12465.0,17.0,2.0,742.1899999999999,0
12466.0,682.0,1.0,56.73,1
12467.0,423.0,1.0,132.8,1
12468.0,188.0,5.0,3670.74,0
12469.0,523.0,2.0,3070.54,1
12470.0,690.0,1.0,211.95,1
12471.0,2.0,46.0,29205.900999999645,2
12472.0,32.0,19.0,16249.289999999999,2
12473.0,29.0,5.0,3928.0499999999997,0
12474.0,17.0,31.0,12372.75,2
12475.0,54.0,2.0,1149.64,0
12476.0,16.0,23.0,14083.91,2
12477.0,23.0,9.0,20276.37,2
12478.0,4.0,1.0,680.99,0
12479.0,11.0,1.0,527.2,0
12480.0,28.0,7.0,5464.85,3
12481.0,23.0,15.0,12185.51,3
12482.0,576.0,29.0,23691.4,2
12483.0,17.0,19.0,5097.18,3
12484.0,33.0,12.0,6354.1,3
12485.0,529.0,1.0,708.1,1
12486.0,432.0,1.0,1037.28,1
12487.0,726.0,1.0,285.29999999999995,1
12488.0,10.0,3.0,1298.66,0
12489.0,336.0,1.0,334.93,1
12490.0,5.0,21.0,9823.64,3
12491.0,39.0,1.0,460.40000000000003,0
12492.0,63.0,3.0,715.21,0
12493.0,166.0,2.0,433.74,0
